sim_time,arrived,tyre_pm
60917,1,21.21889926
60918,1,20.54751172
60919,0,16.78952107
60920,0,5.561413465
60921,2,6.570474807
60922,0,4.790344412
60923,2,5.261127866
60924,1,10.40440529
60925,1,19.08436873
60926,1,19.67298555
60927,2,24.6406248
60928,2,17.70219315
60929,1,20.76671474
60930,1,17.75280148
60931,1,23.1453778
60932,0,28.95559019
60933,0,38.50360531
60934,0,40.11079844
60935,0,33.87010486
60936,0,30.13709092
60937,1,22.12533668
60938,0,25.91319239
60939,1,16.01328367
60940,1,22.21774046
60941,1,21.91076518
60942,0,27.2921259
60943,1,28.05157792
60944,1,29.39216921
60945,0,24.35847809
60946,2,21.25009346
60947,0,15.06944396
60948,2,13.61876409
60949,1,9.004424165
60950,1,8.837439779
60951,0,9.84364517
60952,0,12.88649222
60953,1,13.41131228
60954,0,11.95874597
60955,0,12.77377406
60956,0,9.402341529
60957,0,5.206989567
60958,0,3.246548508
60959,0,3.831356492
60960,0,6.640030363
60961,0,10.60710527
60962,0,13.73516758
60963,1,10.74931873
60964,0,5.879392528
60965,0,1.17308098
60966,1,1.582262029
60967,1,5.060668427
60968,0,9.532937513
60969,0,14.83769717
60970,1,17.12956064
60971,0,25.99211243
60972,0,22.74642863
60973,0,16.20374206
60974,0,18.76674187
60975,0,18.02857989
60976,0,21.68767086
60977,0,23.06563264
60978,0,28.43084332
60979,0,37.85500514
60980,2,41.38574765
60981,0,43.38784045
60982,2,33.64052107
60983,1,36.36781919
60984,0,32.8017088
60985,0,30.44138346
60986,0,34.18217181
60987,0,30.8990142
60988,1,39.1260736
60989,1,45.43807799
60990,2,46.49679556
60991,0,36.74498875
60992,3,41.1902765
60993,1,37.22108809
60994,1,30.64414127
60995,1,17.78205414
60996,1,14.47245608
60997,0,12.43090475
60998,1,11.29277484
60999,0,9.645696579
61000,2,11.46658208
61001,0,7.672932147
61002,1,6.845675359
61003,1,2.802118158
61004,3,2.320500011
61005,0,3.209704886
61006,0,3.491387159
61007,2,10.79146584
61008,1,18.7471973
61009,1,19.25791774
61010,1,13.61196814
61011,1,9.389904583
61012,2,9.851452215
61013,0,8.694675064
61014,1,10.22516822
61015,2,17.90666387
61016,1,19.84163591
61017,0,25.25403602
61018,1,38.27475438
61019,0,36.00304625
61020,0,28.45790853
61021,0,19.29980738
61022,1,21.36733664
61023,0,15.29828168
61024,0,17.11654873
61025,0,19.99291079
61026,2,27.46740794
61027,1,29.62749719
61028,0,29.66127678
61029,0,21.84475136
61030,0,18.83639835
61031,1,12.98784113
61032,1,14.79655701
61033,2,15.20139313
61034,1,17.72942187
61035,0,20.41936055
61036,0,16.78318262
61037,1,8.991668079
61038,0,3.826389091
61039,0,5.447266102
61040,1,4.506380057
61041,0,4.164336252
61042,1,2.950834422
61043,0,8.898059673
61044,0,15.30917362
61045,0,14.28264938
61046,0,5.914731562
61047,0,2.251727827
61048,0,1.080244618
61049,0,2.294306449
61050,0,2.506716877
61051,0,2.950658847
61052,0,6.57566233
61053,0,15.47073767
61054,0,22.58261525
61055,0,20.55561472
61056,0,12.96143469
61057,0,12.17943933
61058,0,17.41599823
61059,0,14.86185009
61060,0,20.11231614
61061,0,28.96262387
61062,0,39.88857996
61063,0,47.2537195
61064,0,46.0047504
61065,0,38.30816738
61066,0,28.59682614
61067,1,26.15434258
61068,1,28.01620134
61069,0,32.05792745
61070,2,39.61081003
61071,0,46.97415744
61072,1,45.82364268
61073,0,37.53882191
61074,1,32.48521745
61075,2,31.40027157
61076,1,30.43851435
61077,0,25.80667892
61078,0,24.91291216
61079,2,25.01753611
61080,2,26.31275712
61081,0,21.8163979
61082,1,20.5007821
61083,2,15.04055654
61084,2,15.45916094
61085,0,12.2930882
61086,2,10.30484218
61087,1,8.963389846
61088,0,5.17135828
61089,0,6.665671958
61090,3,9.141868364
61091,0,9.616787331
61092,1,6.13948742
61093,1,11.26219997
61094,1,15.04367007
61095,0,15.97821548
61096,2,15.90873559
61097,1,18.47180029
61098,1,23.33279848
61099,0,29.58722126
61100,0,26.15317829
61101,3,25.97191184
61102,1,26.9580346
61103,1,23.60727918
61104,1,26.65477238
61105,1,27.62432534
61106,0,24.58853245
61107,0,22.73938869
61108,0,25.77643378
61109,0,20.25736933
61110,1,23.56897726
61111,0,30.7712037
61112,2,27.93487861
61113,0,22.63180533
61114,1,16.78734224
61115,0,20.64822562
61116,2,24.01513188
61117,0,25.69699393
61118,2,22.81457481
61119,1,21.81661644
61120,0,14.09441979
61121,2,9.612432195
61122,1,9.015433592
61123,1,5.925489403
61124,0,8.463199144
61125,0,11.77179482
61126,0,16.87382182
61127,0,16.39340563
61128,0,16.74103119
61129,0,7.444674666
61130,0,4.363960037
61131,0,1.972269169
61132,0,5.632835858
61133,0,4.029523015
61134,0,7.489502315
61135,0,12.95681199
61136,0,17.51766587
61137,0,16.40608399
61138,0,8.947905258
61139,0,7.437411754
61140,0,6.831132349
61141,0,7.479839606
61142,0,10.74279145
61143,0,14.705873
61144,0,23.29802983
61145,0,30.0954623
61146,0,28.65151602
61147,2,21.80583697
61148,1,21.5581157
61149,0,20.97017887
61150,0,27.90537315
61151,0,27.86334493
61152,0,27.32364853
61153,2,36.49727662
61154,1,41.25375016
61155,1,45.61935273
61156,1,36.63723718
61157,0,33.77410401
61158,0,26.9333569
61159,0,34.08196002
61160,1,30.86475716
61161,1,29.06247919
61162,1,32.43220675
61163,1,35.39341128
61164,1,37.68703071
61165,1,27.45834258
61166,1,30.15939305
61167,1,24.16709186
61168,0,23.50182184
61169,1,25.48188237
61170,1,30.75296664
61171,1,21.51301617
61172,2,21.07995641
61173,1,19.72983017
61174,1,11.95158111
61175,1,9.317079662
61176,2,8.526930979
61177,1,5.979270328
61178,1,2.67418884
61179,1,4.416799299
61180,2,9.837650128
61181,0,14.76826947
61182,0,22.28565924
61183,2,20.83289877
61184,1,13.6858827
61185,3,11.64806641
61186,1,12.1851475
61187,0,15.17201771
61188,1,21.03421888
61189,1,24.9032449
61190,1,34.69013377
61191,1,36.95052653
61192,0,28.06216065
61193,0,19.42700484
61194,1,22.08069429
61195,1,16.7363889
61196,0,19.01484316
61197,1,16.98736571
61198,1,18.18081553
61199,1,22.02763077
61200,0,26.64357817
61201,0,25.72352237
61202,0,26.54212968
61203,1,21.75889275
61204,3,19.62422296
61205,0,15.28490608
61206,0,14.37883987
61207,1,11.13830064
61208,0,12.50483411
61209,0,16.9879266
61210,0,18.82470951
61211,0,14.53696657
61212,0,9.566851404
61213,0,5.628085478
61214,0,3.545080109
61215,0,5.217253627
61216,0,5.755917491
61217,0,7.651961707
61218,0,12.24767188
61219,1,12.18744584
61220,0,9.4862825
61221,2,4.507290934
61222,1,1.116915499
61223,0,0.263049899
61224,0,1.88623007
61225,0,4.130442816
61226,0,9.183820311
61227,0,10.33739413
61228,0,18.64135897
61229,0,25.34184271
61230,0,29.45935946
61231,0,19.89192892
61232,0,15.45033575
61233,0,19.85904387
61234,0,27.20759256
61235,0,26.98519582
61236,0,29.80734644
61237,0,40.09615003
61238,0,37.45703728
61239,2,34.72580014
61240,1,28.43963849
61241,1,32.84887151
61242,0,37.23566715
61243,0,35.61797939
61244,0,46.75534185
61245,0,41.45581591
61246,3,43.28456893
61247,0,42.67730267
61248,1,27.69863334
61249,0,27.43973745
61250,2,26.1533086
61251,2,21.89548701
61252,0,20.41104039
61253,1,19.07415339
61254,0,17.2122119
61255,1,18.59828773
61256,1,14.85281285
61257,1,14.84295541
61258,1,11.97866995
61259,1,9.398457958
61260,2,5.208507526
61261,1,6.913184404
61262,2,6.351116612
