sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed
118.0,1,27.630208495429493,17,605.0,15.921052631578947,6.496105026386871
119.0,1,24.0738134301325,17,622.0,16.81081081081081,5.920430462482457
120.0,1,19.75651918015123,18,640.0,17.77777777777778,5.3327363169656
121.0,1,12.681599226891663,19,659.0,17.81081081081081,5.405994377946163
122.0,0,14.322588821590768,17,533.0,14.405405405405405,5.378368599357721
123.0,0,18.694629784889212,16,428.0,11.567567567567568,5.397427532058328
124.0,1,28.200433001827168,16,343.0,9.527777777777779,5.292950114455818
125.0,1,27.959327855220458,14,276.0,7.45945945945946,5.588572385320137
126.0,2,34.09238252888403,13,231.0,6.243243243243243,5.625968100182213
127.0,1,32.77715480818201,12,204.0,5.666666666666667,5.840610520754288
128.0,2,38.15941303101062,10,196.0,5.764705882352941,5.629139227032946
129.0,1,31.792058876915263,10,206.0,6.242424242424242,5.488282843839236
130.0,0,30.64853632222151,9,128.0,3.878787878787879,5.639629384681371
131.0,1,25.974990461767597,8,50.0,1.5625,5.628768768755303
132.0,0,31.305476238492513,7,37.0,1.15625,5.608928097920593
133.0,0,31.612663217768585,7,26.0,0.7647058823529411,6.0206498052090085
134.0,0,40.396957368219375,9,35.0,1.0294117647058822,5.713400407570449
135.0,1,30.849475293618976,10,45.0,1.2857142857142858,5.983475841113642
136.0,1,33.888053253594634,11,56.0,1.5555555555555556,6.055035525743794
137.0,0,28.67614399814267,13,69.0,1.9166666666666667,6.201860595967609
138.0,1,22.95677957844578,14,83.0,2.3714285714285714,6.13889797893523
139.0,1,18.8586123091021,17,100.0,2.9411764705882355,6.08156757089131
140.0,2,12.126950267672257,18,118.0,3.6875,5.485969729534841
141.0,0,17.48540270619786,18,136.0,4.25,5.3292959031286
142.0,0,18.689395041302205,18,154.0,4.8125,4.916483163882219
143.0,0,19.87397302350349,18,172.0,5.375,4.353148413993375
144.0,1,19.044937828235707,20,192.0,6.193548387096774,3.54076120673865
145.0,1,11.085249369720398,20,212.0,5.888888888888889,4.790260489632889
146.0,2,12.112498724306281,22,234.0,6.157894736842105,4.813413917525383
147.0,0,8.62952496666387,22,256.0,6.4,5.049469866390622
148.0,2,4.600107785928429,24,280.0,7.368421052631579,4.524920730881129
149.0,0,7.144056422781677,24,304.0,8.0,4.595632167280868
150.0,2,6.912304011873908,24,328.0,9.11111111111111,4.134610000337692
151.0,0,10.9321192988778,24,352.0,9.777777777777779,4.047165026416987
152.0,0,16.98736713513535,24,376.0,10.444444444444445,3.70714479152685
153.0,0,20.74877718113249,24,400.0,11.11111111111111,3.210798906176929
154.0,0,20.376229370121596,25,425.0,11.805555555555555,2.7409398942683425
155.0,0,17.387721576260226,26,451.0,12.527777777777779,2.3368908386732254
156.0,0,18.467680999096977,28,479.0,12.605263157894736,2.5000055862791726
157.0,0,15.221350973489326,28,507.0,12.071428571428571,3.0836909046490266
158.0,0,11.424303321558611,30,537.0,12.785714285714286,3.035927771167915
159.0,0,6.449331241066589,31,568.0,13.523809523809524,3.01633070808683
160.0,0,5.825266737772089,32,600.0,14.285714285714286,2.989313029254803
161.0,0,3.279707086457989,32,632.0,15.047619047619047,3.0026427687979127
162.0,0,12.847484875365767,32,664.0,15.80952380952381,2.8547386162014496
